srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smean,dmean,trans_depth,response_body_len,sjit,djit,stime,ltime,sinpkt,dinpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,label,attack_cat
149.171.126.15,47439,175.45.176.3,53,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424245693,1424245693,0.009,0.0,0.0,0.0,0.0,0,0,,, ,34,34,22,22,22,22,34,0,Normal
59.166.0.4,47919,149.171.126.3,32533,tcp,FIN,0.014857,2766,28906,31,29,7,16,-,1456014.0,15226762.0,44,46,255,255,737018119,2891106915,63,628,0,0,18.806138,18.003228,1424234112,1424234112,0.346119,0.318422,0.000661,0.000524,0.000137,0,0,,, ,6,3,1,5,1,1,1,0,Normal
59.166.0.6,1651,149.171.126.5,5190,tcp,FIN,0.225276,1244,2574,31,29,4,4,-,41442.5,86329.66406,16,18,255,255,2505982362,2510456751,78,143,0,0,812.315446,20.190066,1421931173,1421931173,14.994667,13.220294,0.000686,0.000521,0.000165,0,0,0.0,0.0,0,13,8,1,3,1,1,1,0,Normal
59.166.0.3,16262,149.171.126.8,5190,tcp,FIN,0.005603,1920,4312,31,29,6,6,-,2617169.25,5901124.5,22,24,255,255,2558112479,2558333510,87,180,0,0,16.018144,12.843083,1424228424,1424228424,0.2626,0.232182,0.000623,0.000494,0.000129,0,0,,, ,3,2,1,1,1,1,1,0,Normal
59.166.0.3,15070,149.171.126.1,80,tcp,FIN,1.165992,1684,10168,31,29,3,5,http,10730.77637,65894.10156,14,18,255,255,79377410,2229973349,120,565,1,3924,8862.490243,7759.373273,1421946774,1421946776,89.663305,68.556294,0.000674,0.000528,0.000146,0,0,1.0,0.0,0,2,1,4,1,1,1,1,0,Normal
59.166.0.1,56430,149.171.126.2,53,udp,CON,0.001048,146,178,31,29,0,0,dns,557251.9375,679389.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421936149,1421936149,0.002,0.003,0.0,0.0,0.0,0,0,0.0,0.0,0,4,3,3,6,3,2,2,0,Normal
149.171.126.14,1043,175.45.176.1,53,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255033,1424255033,0.009,0.0,0.0,0.0,0.0,0,0,,, ,15,15,7,7,7,7,15,0,Normal
59.166.0.7,25952,149.171.126.2,16829,udp,CON,0.001716,544,304,31,29,0,0,-,1902097.875,1062937.0,4,4,0,0,0,0,136,76,0,0,0.62697,0.295813,1424221696,1424221696,0.447333,0.213667,0.0,0.0,0.0,0,0,,, ,6,7,8,6,1,1,6,0,Normal
59.166.0.3,37673,149.171.126.6,53,udp,CON,0.000949,146,178,31,29,0,0,-,615384.625,750263.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945354,1421945354,0.01,0.003,0.0,0.0,0.0,0,0,0.0,0.0,0,13,10,8,11,3,3,3,0,Normal
59.166.0.4,64302,149.171.126.7,16698,udp,CON,0.001846,536,304,31,29,0,0,-,1742145.25,988082.375,4,4,0,0,0,0,134,76,0,0,0.658553,0.326453,1421942437,1421942437,0.471667,0.236333,0.0,0.0,0.0,0,0,0.0,0.0,0,4,6,4,5,1,1,3,0,Normal
175.45.176.3,47439,149.171.126.18,53,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424231329,1424231329,0.006,0.0,0.0,0.0,0.0,0,2,,, ,29,29,4,4,4,4,29,1,Generic
175.45.176.3,65531,149.171.126.16,445,tcp,FIN,0.624461,1040,750,254,252,3,2,-,12221.74023,8416.858398,12,8,255,255,4205766426,1513318953,87,94,0,0,2752.179909,99.924063,1424260059,1424260059,52.675001,71.40143,0.203501,0.124642,0.078859,0,1,,, ,2,2,2,2,2,1,2,1, Fuzzers 
175.45.176.3,47439,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424230453,1424230453,0.009,0.0,0.0,0.0,0.0,0,2,,, ,26,26,17,17,17,17,26,1,Generic
175.45.176.1,1043,149.171.126.18,53,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237580,1424237580,0.01,0.0,0.0,0.0,0.0,0,2,,, ,64,64,60,60,60,33,65,1,Generic
175.45.176.3,47439,149.171.126.15,53,udp,INT,7e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424245883,1424245883,0.007,0.0,0.0,0.0,0.0,0,2,,, ,32,32,25,25,25,12,32,1,Generic
175.45.176.1,47439,149.171.126.18,53,udp,INT,2e-06,114,0,254,0,0,0,dns,228000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424239084,1424239084,0.002,0.0,0.0,0.0,0.0,0,2,,, ,38,38,38,38,38,18,38,1,Generic
175.45.176.1,1043,149.171.126.18,53,udp,INT,7e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237836,1424237836,0.007,0.0,0.0,0.0,0.0,0,2,,, ,39,39,24,25,24,24,39,1,Generic
175.45.176.1,1043,149.171.126.18,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931568,1421931568,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,3,3,3,3,3,1,Generic
175.45.176.1,0,149.171.126.17,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244433,1424244433,0.009,0.0,0.0,0.0,0.0,0,2,,, ,4,4,3,3,2,2,6,1,Exploits
175.45.176.3,47439,149.171.126.15,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424245544,1424245544,0.008,0.0,0.0,0.0,0.0,0,2,,, ,12,12,9,9,9,9,12,1,Generic
175.45.176.0,1043,149.171.126.12,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424223354,1424223354,0.005,0.0,0.0,0.0,0.0,0,2,,, ,17,17,17,17,17,8,17,1,Generic
175.45.176.1,20364,149.171.126.14,21,tcp,FIN,1.087437,1096,1632,62,252,7,9,ftp,7665.731445,11461.81348,20,22,255,255,1696126299,1167266065,55,74,0,0,3087.437717,2750.329928,1424222704,1424222705,57.233528,51.404,0.05121,0.007164,0.044046,0,1,,1.0,1,1,1,2,2,1,1,2,1,Exploits
175.45.176.3,1043,149.171.126.18,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424231810,1424231810,0.008,0.0,0.0,0.0,0.0,0,2,,, ,34,34,16,16,16,16,34,1,Generic
175.45.176.1,62183,149.171.126.15,179,tcp,FIN,0.794046,534,354,254,252,2,1,-,4846.066895,3123.244873,10,8,255,255,3148079867,448174276,53,44,0,0,5044.640795,212.836891,1424259615,1424259616,85.583667,106.801289,0.07216,0.046429,0.025731,0,1,,, ,5,2,2,3,2,2,2,1, Fuzzers 
175.45.176.0,1043,149.171.126.10,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259005,1424259005,0.005,0.0,0.0,0.0,0.0,0,2,,, ,33,33,33,33,33,17,33,1,Generic
175.45.176.0,15278,149.171.126.17,80,tcp,FIN,0.434787,816,8148,62,252,2,4,http,13523.86328,137428.2031,10,12,255,255,1958732791,2955779644,82,679,1,0,2651.01791,2161.122787,1424225118,1424225118,48.309667,30.968909,0.129923,0.093528,0.036395,0,1,4.0,, ,2,2,2,10,2,2,2,1, Reconnaissance 
175.45.176.1,47439,149.171.126.18,53,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237523,1424237523,0.006,0.0,0.0,0.0,0.0,0,2,,, ,35,35,11,11,11,11,35,1,Generic
175.45.176.3,1043,149.171.126.15,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424246258,1424246258,0.009,0.0,0.0,0.0,0.0,0,2,,, ,36,36,22,23,22,22,36,1,Generic
175.45.176.1,0,149.171.126.17,0,any,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244386,1424244386,0.009,0.0,0.0,0.0,0.0,0,2,,, ,12,12,4,5,3,3,16,1,DoS
175.45.176.1,1043,149.171.126.14,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251911,1424251911,0.003,0.0,0.0,0.0,0.0,0,2,,, ,20,20,6,6,6,6,20,1,Generic
175.45.176.1,1043,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424239061,1424239061,0.004,0.0,0.0,0.0,0.0,0,2,,, ,56,56,26,26,26,14,56,1,Generic
175.45.176.3,47439,149.171.126.15,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424244813,1424244813,0.008,0.0,0.0,0.0,0.0,0,2,,, ,33,33,13,13,13,13,33,1,Generic
175.45.176.0,1043,149.171.126.12,53,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424223927,1424223927,0.006,0.0,0.0,0.0,0.0,0,2,,, ,18,18,17,17,17,8,18,1,Generic
175.45.176.3,47439,149.171.126.18,53,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424230989,1424230989,0.01,0.0,0.0,0.0,0.0,0,2,,, ,27,27,19,19,18,18,27,1,Generic
175.45.176.1,47439,149.171.126.18,53,udp,INT,2e-06,114,0,254,0,0,0,dns,228000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931219,1421931219,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,11,11,4,4,4,4,4,1,Generic
175.45.176.1,0,149.171.126.12,0,mtp,INT,8e-06,200,0,254,0,0,0,-,800000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930703,1421930703,0.001,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,15,12,4,7,4,4,4,1,Exploits
175.45.176.1,47439,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237783,1424237783,0.004,0.0,0.0,0.0,0.0,0,2,,, ,22,22,21,20,20,20,22,1,Generic
175.45.176.2,53055,149.171.126.16,80,tcp,FIN,0.298914,806,1996,62,252,2,2,-,19430.33789,46755.92578,10,8,255,255,1003378041,1827564238,81,250,0,0,1795.499808,56.443957,1421934112,1421934112,33.212667,31.710428,0.11923,0.072623,0.046607,0,1,0.0,0.0,0,5,2,2,2,2,1,2,1,Exploits
175.45.176.0,65090,149.171.126.11,520,udp,INT,5e-06,104,0,254,0,0,0,-,83200000.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424252288,1424252288,0.005,0.0,0.0,0.0,0.0,0,2,,, ,3,5,1,1,1,1,3,1, Fuzzers 
175.45.176.3,1028,149.171.126.18,21,tcp,FIN,1.869926,17354,768,254,252,8,4,ftp,70873.39063,3054.66626,22,14,255,255,2916319033,287316505,789,55,0,0,6355.351743,155.121516,1424249406,1424249408,89.011141,136.310844,0.200915,0.097882,0.103033,0,1,,, ,1,1,1,1,1,1,1,1, Fuzzers 
175.45.176.1,47439,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424238671,1424238671,0.009,0.0,0.0,0.0,0.0,0,2,,, ,38,38,15,15,14,14,39,1,Generic
175.45.176.3,1043,149.171.126.18,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424230518,1424230518,0.004,0.0,0.0,0.0,0.0,0,2,,, ,41,41,34,35,34,19,41,1,Generic
175.45.176.3,47658,149.171.126.13,80,tcp,FIN,5.903088,4296,724985,62,252,2,278,http,5758.341797,980762.625,90,560,255,255,38722738,1286219903,48,1295,1,350992,3155.957314,1240.777049,1424224724,1424224730,66.326834,10.408299,0.212604,0.10491,0.107694,0,1,1.0,, ,2,1,1,2,2,1,1,1,DoS
175.45.176.1,0,149.171.126.10,0,il,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237293,1424237293,0.006,0.0,0.0,0.0,0.0,0,2,,, ,8,8,1,2,1,1,8,1,Exploits
175.45.176.1,1043,149.171.126.18,53,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424237599,1424237599,0.01,0.0,0.0,0.0,0.0,0,2,,, ,47,47,44,44,44,24,47,1,Generic
175.45.176.3,0,149.171.126.19,0,unas,INT,7e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230413,1424230413,0.007,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,26,1,1,3,1,Exploits
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424240528,1424240528,0.01,0.0,0.0,0.0,0.0,0,2,,, ,38,38,17,17,17,17,38,1,Generic
175.45.176.1,1043,149.171.126.14,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251788,1424251788,0.009,0.0,0.0,0.0,0.0,0,2,,, ,28,28,16,16,16,16,28,1,Generic
175.45.176.1,47439,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933017,1421933017,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,4,4,4,4,4,1,Generic
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223284,1424223284,0.008,0.0,0.0,0.0,0.0,0,2,,, ,7,7,3,12,3,3,7,1,Exploits
175.45.176.0,47439,149.171.126.10,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260921,1424260921,0.005,0.0,0.0,0.0,0.0,0,2,,, ,17,17,16,16,16,16,17,1,Generic
175.45.176.3,0,149.171.126.14,0,swipe,INT,4.7e-05,60,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,60,0,0,0,0.0,0.0,1424256862,1424256862,0.0,0.0,0.0,0.0,0.0,0,2,,, ,4,4,3,3,3,3,4,1,DoS
175.45.176.0,47439,149.171.126.12,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424224829,1424224829,0.009,0.0,0.0,0.0,0.0,0,2,,, ,25,25,10,10,10,6,25,1,Generic
175.45.176.0,58594,149.171.126.12,21,tcp,FIN,2.15275,810,682,254,252,4,4,ftp,2798.28125,2326.32666,14,12,255,255,2753217525,1761271822,58,57,0,0,11434.70255,342.001344,1424230596,1424230598,165.519774,185.898812,0.220989,0.107855,0.113134,0,1,,1.0,1,1,1,1,1,1,1,1,1, Fuzzers 
175.45.176.1,32234,149.171.126.19,111,tcp,FIN,0.636269,564,354,254,252,2,1,-,6387.23584,3897.722656,10,8,255,255,3343574210,3685158768,56,44,0,0,5514.390849,137.940594,1424228976,1424228977,70.195556,89.747,0.05362,0.008034,0.045586,0,1,,, ,1,1,1,1,1,1,1,1, Reconnaissance 
175.45.176.1,2660,149.171.126.10,54488,tcp,FIN,0.68644,364,3754,62,252,1,3,ftp-data,3717.732178,39379.98828,8,10,255,255,237209105,4161278905,46,375,0,0,6798.549373,5391.107798,1424232448,1424232449,98.062855,72.615556,0.064936,0.032185,0.032751,0,1,,, ,1,1,2,2,1,1,3,1,Exploits
175.45.176.0,0,149.171.126.19,0,ospf,INT,0.489758,1040,0,254,0,0,0,-,16138.58203,0.0,20,0,0,0,0,0,52,0,0,0,29.430768,0.0,1424220045,1424220046,25.776736,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,1,1,DoS
175.45.176.3,1043,149.171.126.15,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424246574,1424246574,0.003,0.0,0.0,0.0,0.0,0,2,,, ,38,38,39,38,38,21,38,1,Generic
175.45.176.3,47439,149.171.126.15,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424244908,1424244908,0.004,0.0,0.0,0.0,0.0,0,2,,, ,39,39,39,40,39,17,39,1,Generic
175.45.176.3,1043,149.171.126.15,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424246514,1424246514,0.003,0.0,0.0,0.0,0.0,0,2,,, ,14,14,14,14,14,14,14,1,Generic
175.45.176.2,1765,149.171.126.16,514,udp,INT,9e-06,234,0,254,0,0,0,-,104000000.0,0.0,2,0,0,0,0,0,117,0,0,0,0.0,0.0,1424260533,1424260533,0.009,0.0,0.0,0.0,0.0,0,2,,, ,2,2,2,1,1,1,2,1, Fuzzers 
175.45.176.1,64532,149.171.126.19,21,tcp,FIN,2.89417,1158,1646,62,252,7,9,ftp,3057.18042,4345.287109,22,22,255,255,2815023456,3839844967,53,75,0,0,7634.80273,9059.921484,1424260859,1424260862,136.682241,134.477435,0.140103,0.070136,0.069967,0,1,,1.0,1,1,1,1,2,1,1,2,1,Exploits
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424238619,1424238619,0.001,0.0,0.0,0.0,0.0,0,2,,, ,50,50,44,45,44,20,50,1,Generic
175.45.176.3,47439,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424231137,1424231137,0.009,0.0,0.0,0.0,0.0,0,2,,, ,18,18,18,19,18,18,19,1,Generic
175.45.176.0,39207,149.171.126.10,80,tcp,FIN,0.199475,922,268,254,252,2,1,http,33287.37891,8983.582031,10,6,255,255,246709085,3692608310,92,45,1,0,1223.029996,64.12498,1424240736,1424240736,22.163889,35.236602,0.028046,0.016176,0.01187,0,1,1.0,, ,1,1,1,2,1,1,1,1,Exploits
175.45.176.3,13558,149.171.126.10,80,tcp,FIN,0.688969,2434,43188,62,252,3,17,http,26497.5625,488289.0,16,38,255,255,2717289797,1612328525,152,1137,1,380,2668.624343,1755.141701,1424232261,1424232262,45.931268,17.610162,0.086105,0.028257,0.057848,0,1,1.0,, ,1,1,1,1,1,1,1,1,Generic
175.45.176.3,47439,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424232441,1424232441,0.009,0.0,0.0,0.0,0.0,0,2,,, ,20,20,15,15,15,15,20,1,Generic
175.45.176.3,1043,149.171.126.15,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424246647,1424246647,0.004,0.0,0.0,0.0,0.0,0,2,,, ,26,26,26,26,26,14,26,1,Generic
175.45.176.3,47439,149.171.126.18,53,udp,INT,2e-06,114,0,254,0,0,0,dns,228000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424231461,1424231461,0.002,0.0,0.0,0.0,0.0,0,2,,, ,36,36,11,11,11,11,36,1,Generic
175.45.176.3,14938,149.171.126.10,110,tcp,FIN,4.989182,1050,30276,62,252,7,17,pop3,1608.279663,47270.27344,22,38,255,255,1674973096,3433022299,48,797,0,0,22158.83446,16150.95031,1424237996,1424238001,237.580101,132.053407,0.161524,0.102563,0.058961,0,1,,, ,1,1,2,2,1,1,1,1,Exploits
175.45.176.3,1043,149.171.126.18,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424233512,1424233512,0.003,0.0,0.0,0.0,0.0,0,2,,, ,23,23,23,24,23,23,23,1,Generic
175.45.176.3,16002,149.171.126.12,80,tcp,FIN,0.184831,1098,268,254,252,2,1,http,42806.67188,9695.34375,10,6,255,255,539631226,1621969256,110,45,1,0,1018.231391,60.116508,1424243029,1424243029,19.103333,35.138398,0.053444,0.009136,0.044308,0,1,1.0,, ,1,1,1,1,1,1,1,1,Exploits
175.45.176.1,22287,149.171.126.10,80,tcp,FIN,0.190554,840,268,254,252,2,1,http,31739.03516,9404.15918,10,6,255,255,2593603835,1528499933,84,45,1,0,1026.782222,49.229207,1424223147,1424223147,18.981111,33.870398,0.044226,0.021196,0.02303,0,1,1.0,, ,1,1,1,1,1,1,1,1, Reconnaissance 
175.45.176.2,0,149.171.126.17,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258907,1424258907,0.009,0.0,0.0,0.0,0.0,0,2,,, ,5,5,1,3,1,1,5,1,DoS
175.45.176.1,47439,149.171.126.14,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254479,1424254479,0.009,0.0,0.0,0.0,0.0,0,2,,, ,31,31,15,16,15,15,31,1,Generic
175.45.176.0,26297,149.171.126.15,25,tcp,FIN,3.722049,138702,2356,62,252,58,8,-,295716.6875,4915.572266,124,34,255,255,190240590,2134338791,1119,69,0,0,2892.065112,145.235484,1421932707,1421932711,30.508598,108.506789,0.249901,0.121323,0.128578,0,1,0.0,0.0,0,4,1,1,3,1,1,1,1,DoS
175.45.176.0,1043,149.171.126.10,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260709,1424260709,0.008,0.0,0.0,0.0,0.0,0,2,,, ,45,45,12,12,12,12,45,1,Generic
175.45.176.1,11094,149.171.126.15,21,tcp,FIN,1.820325,820,682,254,252,4,4,ftp,3348.852539,2751.156982,14,12,255,255,3776140287,1833028532,59,57,0,0,7391.285066,197.133172,1421927963,1421927965,137.205841,150.762547,0.360535,0.161936,0.198599,0,1,0.0,0.0,0,1,1,1,1,1,1,1,1, Fuzzers
175.45.176.1,0,149.171.126.17,0,crudp,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244405,1424244405,0.004,0.0,0.0,0.0,0.0,0,2,,, ,14,14,6,6,5,5,17,1,Analysis
